Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.36     0.00   721200     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >* std::__addressof<std::vector<Particle*, std::allocator<Particle*> > >(std::vector<Particle*, std::allocator<Particle*> >&)
  0.00      1.36     0.00   720600     0.00     0.00  std::__new_allocator<Particle*>::~__new_allocator()
  0.00      1.36     0.00   720000     0.00     0.00  __gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >::__normal_iterator(Particle* const* const&)
  0.00      1.36     0.00   720000     0.00     0.00  __gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >::base() const
  0.00      1.36     0.00   720000     0.00     0.00  __gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > > std::__miter_base<__gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > > >(__gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >)
  0.00      1.36     0.00   720000     0.00     0.00  Particle* const* std::__niter_base<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >(__gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >)
  0.00      1.36     0.00   657506     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::operator+(long) const
  0.00      1.36     0.00   657506     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::capacity() const
  0.00      1.36     0.00   657506     0.00     0.00  sf::Vertex* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<sf::Vertex const, sf::Vertex>(sf::Vertex const*, sf::Vertex const*, sf::Vertex*)
  0.00      1.36     0.00   657506     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > >(__gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >)
  0.00      1.36     0.00   657506     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::end()
  0.00      1.36     0.00   657506     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::begin()
  0.00      1.36     0.00   657506     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::operator=(std::vector<sf::Vertex, std::allocator<sf::Vertex> > const&)
  0.00      1.36     0.00   657506     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> > const* std::__addressof<std::vector<sf::Vertex, std::allocator<sf::Vertex> > const>(std::vector<sf::Vertex, std::allocator<sf::Vertex> > const&)
  0.00      1.36     0.00   657506     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, sf::Vertex*>(__gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, sf::Vertex*)
  0.00      1.36     0.00   657506     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > std::__copy_move_a<false, __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > >(__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >)
  0.00      1.36     0.00   657506     0.00     0.00  sf::Vertex* std::__copy_move_a1<false, sf::Vertex const*, sf::Vertex*>(sf::Vertex const*, sf::Vertex const*, sf::Vertex*)
  0.00      1.36     0.00   657506     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > std::copy<__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > >(__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >)
  0.00      1.36     0.00   657506     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > >(__gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >)
  0.00      1.36     0.00   626371     0.00     0.00  Particle*&& std::forward<Particle*>(std::remove_reference<Particle*>::type&)
  0.00      1.36     0.00   607084     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::size() const
  0.00      1.36     0.00   531529     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Particle**>(Particle**, Particle**)
  0.00      1.36     0.00   531529     0.00     0.00  void std::_Destroy<Particle**>(Particle**, Particle**)
  0.00      1.36     0.00   483542     0.00     0.00  std::_Vector_base<Particle*, std::allocator<Particle*> >::_M_get_Tp_allocator() const
  0.00      1.36     0.00   440963     0.00     0.00  bool __gnu_cxx::operator!=<Particle*, std::vector<Particle, std::allocator<Particle> > >(__gnu_cxx::__normal_iterator<Particle*, std::vector<Particle, std::allocator<Particle> > > const&, __gnu_cxx::__normal_iterator<Particle*, std::vector<Particle, std::allocator<Particle> > > const&)
  0.00      1.36     0.00   439672     0.00     0.00  __gnu_cxx::__normal_iterator<Particle*, std::vector<Particle, std::allocator<Particle> > >::operator*() const
  0.00      1.36     0.00   438693     0.00     0.00  __gthread_active_p()
  0.00      1.36     0.00   433640     0.00     0.00  sf::RectangleShape::~RectangleShape()
  0.00      1.36     0.00   422371     0.00     0.00  std::_Vector_base<Particle*, std::allocator<Particle*> >::_M_deallocate(Particle**, unsigned long)
  0.00      1.36     0.00   388432     0.00     0.00  std::array<Node*, 4ul>::data() const
  0.00      1.36     0.00   385646     0.00     0.00  __gnu_cxx::__normal_iterator<Particle*, std::vector<Particle, std::allocator<Particle> > >::__normal_iterator(Particle* const&)
  0.00      1.36     0.00   360600     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >(__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > const&)
  0.00      1.36     0.00   360600     0.00     0.00  std::_Vector_base<Particle*, std::allocator<Particle*> >::_Vector_impl::~_Vector_impl()
  0.00      1.36     0.00   360600     0.00     0.00  std::_Vector_base<Particle*, std::allocator<Particle*> >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.36     0.00   360600     0.00     0.00  std::_Vector_base<Particle*, std::allocator<Particle*> >::~_Vector_base()
  0.00      1.36     0.00   360600     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::~vector()
  0.00      1.36     0.00   360600     0.00     0.00  void std::_Destroy<std::vector<Particle*, std::allocator<Particle*> > >(std::vector<Particle*, std::allocator<Particle*> >*)
  0.00      1.36     0.00   360000     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >::operator++()
  0.00      1.36     0.00   360000     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >::operator*() const
  0.00      1.36     0.00   360000     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::end() const
  0.00      1.36     0.00   360000     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::begin() const
  0.00      1.36     0.00   360000     0.00     0.00  Particle** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<Particle* const, Particle*>(Particle* const*, Particle* const*, Particle**)
  0.00      1.36     0.00   360000     0.00     0.00  std::_Vector_base<Particle*, std::allocator<Particle*> >::_M_create_storage(unsigned long)
  0.00      1.36     0.00   360000     0.00     0.00  std::_Vector_base<Particle*, std::allocator<Particle*> >::_Vector_base(unsigned long, std::allocator<Particle*> const&)
  0.00      1.36     0.00   360000     0.00     0.00  Particle** std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, Particle**>(__gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, __gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, Particle**)
  0.00      1.36     0.00   360000     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::vector(std::vector<Particle*, std::allocator<Particle*> > const&)
  0.00      1.36     0.00   360000     0.00     0.00  void std::_Construct<std::vector<Particle*, std::allocator<Particle*> >, std::vector<Particle*, std::allocator<Particle*> > const&>(std::vector<Particle*, std::allocator<Particle*> >*, std::vector<Particle*, std::allocator<Particle*> > const&)
  0.00      1.36     0.00   360000     0.00     0.00  Particle** std::__niter_wrap<Particle**>(Particle** const&, Particle**)
  0.00      1.36     0.00   360000     0.00     0.00  Particle** std::__copy_move_a<false, __gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, Particle**>(__gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, __gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, Particle**)
  0.00      1.36     0.00   360000     0.00     0.00  Particle** std::__copy_move_a1<false, Particle* const*, Particle**>(Particle* const*, Particle* const*, Particle**)
  0.00      1.36     0.00   360000     0.00     0.00  Particle** std::__copy_move_a2<false, Particle* const*, Particle**>(Particle* const*, Particle* const*, Particle**)
  0.00      1.36     0.00   360000     0.00     0.00  Particle** std::uninitialized_copy<__gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, Particle**>(__gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, __gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, Particle**)
  0.00      1.36     0.00   360000     0.00     0.00  Particle** std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, Particle**, Particle*>(__gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, __gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, Particle**, std::allocator<Particle*>&)
  0.00      1.36     0.00   360000     0.00     0.00  Particle** std::copy<__gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, Particle**>(__gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, __gnu_cxx::__normal_iterator<Particle* const*, std::vector<Particle*, std::allocator<Particle*> > >, Particle**)
  0.00      1.36     0.00   360000     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> > const& std::forward<std::vector<Particle*, std::allocator<Particle*> > const&>(std::remove_reference<std::vector<Particle*, std::allocator<Particle*> > const&>::type&)
  0.00      1.36     0.00   328753     0.00     0.00  sf::CircleShape::operator=(sf::CircleShape&&)
  0.00      1.36     0.00   328753     0.00     0.00  Particle::operator=(Particle&&)
  0.00      1.36     0.00   328753     0.00     0.00  std::remove_reference<Particle&>::type&& std::move<Particle&>(Particle&)
  0.00      1.36     0.00   263493     0.00     0.00  std::vector<Particle, std::allocator<Particle> >::operator[](unsigned long)
  0.00      1.36     0.00   250416     0.00     0.00  __gnu_cxx::__normal_iterator<Particle*, std::vector<Particle, std::allocator<Particle> > >::operator++()
  0.00      1.36     0.00   226752     0.00     0.00  __gnu_cxx::__normal_iterator<Particle**, std::vector<Particle*, std::allocator<Particle*> > >::operator*() const
  0.00      1.36     0.00   220772     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      1.36     0.00   207760     0.00     0.00  std::mutex::lock()
  0.00      1.36     0.00   201520     0.00     0.00  std::vector<Particle, std::allocator<Particle> >::size() const
  0.00      1.36     0.00   195670     0.00     0.00  std::array<Node*, 4ul>::end() const
  0.00      1.36     0.00   192701     0.00     0.00  std::lock_guard<std::mutex>::lock_guard(std::mutex&)
  0.00      1.36     0.00   191710     0.00     0.00  std::vector<Particle, std::allocator<Particle> >::end()
  0.00      1.36     0.00   190777     0.00     0.00  sf::Vector2<float> sf::operator*<float>(sf::Vector2<float> const&, float)
  0.00      1.36     0.00   189256     0.00     0.00  Particle::isOutOfBounds(Particle&)
  0.00      1.36     0.00   188280     0.00     0.00  std::remove_reference<Particle*&>::type&& std::move<Particle*&>(Particle*&)
  0.00      1.36     0.00   188200     0.00     0.00  __gnu_cxx::__normal_iterator<Particle**, std::vector<Particle*, std::allocator<Particle*> > >::operator-(long) const
  0.00      1.36     0.00   188200     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::back()
  0.00      1.36     0.00   188200     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::push_back(Particle*&&)
  0.00      1.36     0.00   188143     0.00     0.00  sf::Vector2<float> sf::operator/<float>(sf::Vector2<float> const&, float)
  0.00      1.36     0.00   188143     0.00     0.00  Particle::update(float)
  0.00      1.36     0.00   188143     0.00     0.00  __gnu_cxx::__normal_iterator<Particle*, std::vector<Particle, std::allocator<Particle> > >::operator++(int)
  0.00      1.36     0.00   168426     0.00     0.00  sf::Drawable::Drawable(sf::Drawable const&)
  0.00      1.36     0.00   159534     0.00     0.00  std::mutex::mutex()
  0.00      1.36     0.00   151873     0.00     0.00  std::array<Node*, 4ul>::begin() const
  0.00      1.36     0.00   124842     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.36     0.00   123542     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::max_size() const
  0.00      1.36     0.00   123542     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::_S_max_size(std::allocator<Particle*> const&)
  0.00      1.36     0.00   123542     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::_S_relocate(Particle**, Particle**, Particle**, std::allocator<Particle*>&)
  0.00      1.36     0.00   123542     0.00     0.00  Particle** std::__relocate_a<Particle**, Particle**, std::allocator<Particle*> >(Particle**, Particle**, Particle**, std::allocator<Particle*>&)
  0.00      1.36     0.00   123542     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Particle*, void>::value, Particle**>::type std::__relocate_a_1<Particle*, Particle*>(Particle**, Particle**, Particle**, std::allocator<Particle*>&)
  0.00      1.36     0.00   112387     0.00     0.00  std::__new_allocator<sf::Vertex>::~__new_allocator()
  0.00      1.36     0.00   112284     0.00     0.00  sf::VertexArray::VertexArray(sf::VertexArray const&)
  0.00      1.36     0.00   112284     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_get_Tp_allocator() const
  0.00      1.36     0.00   112284     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_allocate(unsigned long)
